Episode 226, Reward:11.20, Noise:0.324, epsilon: 0.894, aloss:-4.252, closs: 0.103, time: 1.17
Episode 227, Reward:6.85, Noise:0.322, epsilon: 0.893, aloss:-4.223, closs: 0.115, time: 0.69
Episode 228, Reward:11.40, Noise:0.321, epsilon: 0.893, aloss:-4.182, closs: 0.105, time: 1.20
Episode 229, Reward:4.95, Noise:0.319, epsilon: 0.892, aloss:-4.219, closs: 0.088, time: 0.50
Episode 230, Reward:10.60, Noise:0.317, epsilon: 0.892, aloss:-4.206, closs: 0.107, time: 1.27
Episode 231, Reward:11.30, Noise:0.316, epsilon: 0.891, aloss:-4.303, closs: 0.094, time: 1.22
Episode 232, Reward:6.30, Noise:0.314, epsilon: 0.891, aloss:-4.360, closs: 0.097, time: 0.65
Episode 233, Reward:3.75, Noise:0.313, epsilon: 0.890, aloss:-4.322, closs: 0.107, time: 0.40
Episode 234, Reward:11.45, Noise:0.311, epsilon: 0.890, aloss:-4.263, closs: 0.110, time: 1.20
Episode 235, Reward:6.95, Noise:0.309, epsilon: 0.890, aloss:-4.257, closs: 0.097, time: 0.73
Episode 236, Reward:1.70, Noise:0.308, epsilon: 0.889, aloss:-4.289, closs: 0.103, time: 0.17
Episode 237, Reward:6.65, Noise:0.306, epsilon: 0.889, aloss:-4.306, closs: 0.096, time: 0.76
Episode 238, Reward:8.50, Noise:0.305, epsilon: 0.888, aloss:-4.275, closs: 0.104, time: 0.82
Episode 239, Reward:0.65, Noise:0.303, epsilon: 0.888, aloss:-4.278, closs: 0.090, time: 0.07
Episode 240, Reward:3.25, Noise:0.302, epsilon: 0.887, aloss:-4.287, closs: 0.101, time: 0.36
Episode 241, Reward:1.60, Noise:0.300, epsilon: 0.887, aloss:-4.290, closs: 0.102, time: 0.17
Episode 242, Reward:7.40, Noise:0.299, epsilon: 0.886, aloss:-4.328, closs: 0.087, time: 0.72
Episode 243, Reward:11.20, Noise:0.297, epsilon: 0.886, aloss:-4.285, closs: 0.112, time: 1.15
Episode 244, Reward:11.55, Noise:0.296, epsilon: 0.886, aloss:-4.238, closs: 0.103, time: 1.15
Episode 245, Reward:1.00, Noise:0.294, epsilon: 0.885, aloss:-4.247, closs: 0.055, time: 0.11
