Episode 150, Reward:10.90, Noise:0.224, epsilon: 0.928, aloss:-4.661, closs: 0.059, time: 1.14
Episode 151, Reward:2.55, Noise:0.221, epsilon: 0.928, aloss:-4.677, closs: 0.072, time: 0.25
Episode 152, Reward:11.40, Noise:0.219, epsilon: 0.927, aloss:-4.663, closs: 0.068, time: 1.19
Episode 153, Reward:11.45, Noise:0.217, epsilon: 0.927, aloss:-4.673, closs: 0.063, time: 1.15
Episode 154, Reward:10.90, Noise:0.215, epsilon: 0.926, aloss:-4.684, closs: 0.070, time: 1.14
Episode 155, Reward:10.10, Noise:0.213, epsilon: 0.926, aloss:-4.701, closs: 0.060, time: 1.15
Episode 156, Reward:10.40, Noise:0.211, epsilon: 0.925, aloss:-4.618, closs: 0.080, time: 1.05
Episode 157, Reward:11.70, Noise:0.208, epsilon: 0.925, aloss:-4.617, closs: 0.067, time: 1.15
Episode 158, Reward:11.25, Noise:0.206, epsilon: 0.924, aloss:-4.614, closs: 0.067, time: 1.14
Episode 159, Reward:7.75, Noise:0.204, epsilon: 0.924, aloss:-4.627, closs: 0.071, time: 0.86
Episode 160, Reward:8.55, Noise:0.202, epsilon: 0.924, aloss:-4.622, closs: 0.068, time: 0.88
Episode 161, Reward:8.65, Noise:0.200, epsilon: 0.923, aloss:-4.652, closs: 0.067, time: 1.15
Episode 162, Reward:7.80, Noise:0.198, epsilon: 0.923, aloss:-4.674, closs: 0.059, time: 1.13
Episode 163, Reward:10.20, Noise:0.196, epsilon: 0.922, aloss:-4.662, closs: 0.075, time: 1.13
Episode 164, Reward:11.30, Noise:0.194, epsilon: 0.922, aloss:-4.625, closs: 0.068, time: 1.13
Episode 165, Reward:2.55, Noise:0.192, epsilon: 0.921, aloss:-4.619, closs: 0.070, time: 0.27
Episode 166, Reward:9.95, Noise:0.190, epsilon: 0.921, aloss:-4.614, closs: 0.068, time: 1.08
Episode 167, Reward:11.35, Noise:0.189, epsilon: 0.920, aloss:-4.593, closs: 0.069, time: 1.12
Episode 168, Reward:0.80, Noise:0.187, epsilon: 0.920, aloss:-4.564, closs: 0.088, time: 0.07
Episode 169, Reward:1.50, Noise:0.185, epsilon: 0.919, aloss:-4.579, closs: 0.050, time: 0.16
Episode 170, Reward:6.05, Noise:0.183, epsilon: 0.919, aloss:-4.573, closs: 0.078, time: 1.13
Episode 171, Reward:8.00, Noise:0.181, epsilon: 0.918, aloss:-4.519, closs: 0.073, time: 0.85
Episode 172, Reward:7.25, Noise:0.179, epsilon: 0.918, aloss:-4.477, closs: 0.070, time: 0.73
Episode 173, Reward:5.80, Noise:0.178, epsilon: 0.918, aloss:-4.496, closs: 0.060, time: 0.61
Episode 174, Reward:4.05, Noise:0.176, epsilon: 0.917, aloss:-4.522, closs: 0.065, time: 0.45
Episode 175, Reward:8.80, Noise:0.174, epsilon: 0.917, aloss:-4.537, closs: 0.072, time: 1.13
Episode 176, Reward:10.70, Noise:0.172, epsilon: 0.916, aloss:-4.500, closs: 0.071, time: 1.14
Episode 177, Reward:11.05, Noise:0.171, epsilon: 0.916, aloss:-4.477, closs: 0.074, time: 1.12
Episode 178, Reward:10.70, Noise:0.169, epsilon: 0.915, aloss:-4.488, closs: 0.064, time: 1.13
Episode 179, Reward:2.05, Noise:0.167, epsilon: 0.915, aloss:-4.515, closs: 0.064, time: 0.41
Episode 180, Reward:6.95, Noise:0.165, epsilon: 0.914, aloss:-4.508, closs: 0.067, time: 1.12
Episode 181, Reward:5.00, Noise:0.164, epsilon: 0.914, aloss:-4.539, closs: 0.057, time: 0.53
Episode 182, Reward:9.15, Noise:0.162, epsilon: 0.913, aloss:-4.552, closs: 0.061, time: 1.15
Episode 183, Reward:1.85, Noise:0.161, epsilon: 0.913, aloss:-4.532, closs: 0.081, time: 0.22
Episode 184, Reward:6.90, Noise:0.159, epsilon: 0.913, aloss:-4.538, closs: 0.063, time: 1.14
Episode 185, Reward:6.10, Noise:0.157, epsilon: 0.912, aloss:-4.538, closs: 0.072, time: 0.65
Episode 186, Reward:6.75, Noise:0.156, epsilon: 0.912, aloss:-4.502, closs: 0.073, time: 0.83
Episode 187, Reward:5.95, Noise:0.154, epsilon: 0.911, aloss:-4.475, closs: 0.071, time: 1.16
Episode 188, Reward:7.20, Noise:0.153, epsilon: 0.911, aloss:-4.428, closs: 0.073, time: 1.14
Episode 189, Reward:1.90, Noise:0.151, epsilon: 0.910, aloss:-4.414, closs: 0.061, time: 0.19
Episode 190, Reward:1.95, Noise:0.150, epsilon: 0.910, aloss:-4.427, closs: 0.074, time: 0.24
Episode 191, Reward:9.30, Noise:0.148, epsilon: 0.909, aloss:-4.443, closs: 0.062, time: 1.15
Episode 192, Reward:5.30, Noise:0.147, epsilon: 0.909, aloss:-4.444, closs: 0.070, time: 0.99
Episode 193, Reward:8.15, Noise:0.145, epsilon: 0.908, aloss:-4.395, closs: 0.075, time: 1.15
