Episode 150, Reward:333.77, Noise:0.742, epsilon: 0.928, aloss:-148.180, closs: 55.600, time: 1.25
Episode 151, Reward:361.65, Noise:0.741, epsilon: 0.928, aloss:-150.365, closs: 55.137, time: 1.33
Episode 152, Reward:349.76, Noise:0.739, epsilon: 0.927, aloss:-152.158, closs: 59.878, time: 1.35
Episode 153, Reward:345.47, Noise:0.738, epsilon: 0.927, aloss:-151.465, closs: 57.682, time: 1.33
Episode 154, Reward:348.53, Noise:0.736, epsilon: 0.926, aloss:-150.618, closs: 58.827, time: 1.34
Episode 155, Reward:354.64, Noise:0.735, epsilon: 0.926, aloss:-152.717, closs: 55.078, time: 1.31
Episode 156, Reward:353.88, Noise:0.733, epsilon: 0.925, aloss:-153.593, closs: 57.026, time: 1.29
Episode 157, Reward:353.73, Noise:0.732, epsilon: 0.925, aloss:-152.784, closs: 58.937, time: 1.34
Episode 158, Reward:350.98, Noise:0.730, epsilon: 0.924, aloss:-153.184, closs: 56.752, time: 1.41
Episode 159, Reward:350.23, Noise:0.729, epsilon: 0.924, aloss:-152.136, closs: 50.253, time: 1.31
Episode 160, Reward:276.02, Noise:0.727, epsilon: 0.924, aloss:-154.777, closs: 55.736, time: 0.93
Episode 161, Reward:352.77, Noise:0.726, epsilon: 0.923, aloss:-153.311, closs: 63.507, time: 1.34
Episode 162, Reward:356.13, Noise:0.724, epsilon: 0.923, aloss:-151.378, closs: 56.281, time: 1.30
Episode 163, Reward:348.14, Noise:0.723, epsilon: 0.922, aloss:-152.595, closs: 49.845, time: 1.32
Episode 164, Reward:345.30, Noise:0.722, epsilon: 0.922, aloss:-153.245, closs: 56.028, time: 1.35
Episode 165, Reward:358.27, Noise:0.720, epsilon: 0.921, aloss:-153.606, closs: 58.067, time: 1.28
Episode 166, Reward:349.10, Noise:0.719, epsilon: 0.921, aloss:-152.609, closs: 61.302, time: 1.41
Episode 167, Reward:103.56, Noise:0.717, epsilon: 0.920, aloss:-151.265, closs: 61.267, time: 0.33
Episode 168, Reward:356.89, Noise:0.716, epsilon: 0.920, aloss:-149.602, closs: 54.603, time: 1.22
Episode 169, Reward:355.61, Noise:0.714, epsilon: 0.919, aloss:-151.588, closs: 60.759, time: 1.27
Episode 170, Reward:337.19, Noise:0.713, epsilon: 0.919, aloss:-149.623, closs: 60.810, time: 1.27
Episode 171, Reward:356.48, Noise:0.712, epsilon: 0.918, aloss:-152.490, closs: 52.250, time: 1.27
Episode 172, Reward:177.52, Noise:0.710, epsilon: 0.918, aloss:-152.718, closs: 52.784, time: 0.68
Episode 173, Reward:304.74, Noise:0.709, epsilon: 0.918, aloss:-155.982, closs: 43.253, time: 1.07
Episode 174, Reward:358.54, Noise:0.707, epsilon: 0.917, aloss:-154.230, closs: 59.698, time: 1.34
Episode 175, Reward:346.27, Noise:0.706, epsilon: 0.917, aloss:-152.886, closs: 60.170, time: 1.36
Episode 176, Reward:184.01, Noise:0.704, epsilon: 0.916, aloss:-153.967, closs: 45.195, time: 0.66
Episode 177, Reward:69.88, Noise:0.703, epsilon: 0.916, aloss:-154.958, closs: 39.381, time: 0.21
Episode 178, Reward:353.32, Noise:0.702, epsilon: 0.915, aloss:-154.300, closs: 58.834, time: 1.38
Episode 179, Reward:347.97, Noise:0.700, epsilon: 0.915, aloss:-154.832, closs: 55.490, time: 1.36
Episode 180, Reward:344.18, Noise:0.699, epsilon: 0.914, aloss:-153.024, closs: 59.996, time: 1.25
Episode 181, Reward:354.71, Noise:0.697, epsilon: 0.914, aloss:-152.481, closs: 54.075, time: 1.35
Episode 182, Reward:145.74, Noise:0.696, epsilon: 0.913, aloss:-152.600, closs: 66.410, time: 0.58
Episode 183, Reward:338.68, Noise:0.695, epsilon: 0.913, aloss:-151.668, closs: 55.690, time: 1.34
Episode 184, Reward:365.25, Noise:0.693, epsilon: 0.913, aloss:-153.848, closs: 54.482, time: 1.40
Episode 185, Reward:335.93, Noise:0.692, epsilon: 0.912, aloss:-155.335, closs: 50.410, time: 1.34
Episode 186, Reward:50.46, Noise:0.690, epsilon: 0.912, aloss:-155.433, closs: 48.484, time: 0.16
Episode 187, Reward:341.43, Noise:0.689, epsilon: 0.911, aloss:-155.555, closs: 53.222, time: 1.29
Episode 188, Reward:343.88, Noise:0.688, epsilon: 0.911, aloss:-155.332, closs: 46.405, time: 1.34
Episode 189, Reward:357.19, Noise:0.686, epsilon: 0.910, aloss:-155.635, closs: 49.058, time: 1.31
Episode 190, Reward:338.79, Noise:0.685, epsilon: 0.910, aloss:-156.787, closs: 45.462, time: 1.30
Episode 191, Reward:133.40, Noise:0.684, epsilon: 0.909, aloss:-158.023, closs: 39.694, time: 0.43
Episode 192, Reward:348.46, Noise:0.682, epsilon: 0.909, aloss:-157.350, closs: 57.958, time: 1.31
Episode 193, Reward:330.83, Noise:0.681, epsilon: 0.908, aloss:-156.811, closs: 47.991, time: 1.25
Episode 194, Reward:349.63, Noise:0.680, epsilon: 0.908, aloss:-155.462, closs: 61.519, time: 1.36
Episode 195, Reward:346.51, Noise:0.678, epsilon: 0.908, aloss:-153.975, closs: 49.230, time: 1.21
Episode 196, Reward:352.61, Noise:0.677, epsilon: 0.907, aloss:-155.945, closs: 49.329, time: 1.34
Episode 197, Reward:354.01, Noise:0.675, epsilon: 0.907, aloss:-157.144, closs: 52.969, time: 1.35
Episode 198, Reward:242.43, Noise:0.674, epsilon: 0.906, aloss:-156.199, closs: 53.828, time: 0.93
Episode 199, Reward:364.60, Noise:0.673, epsilon: 0.906, aloss:-154.604, closs: 55.352, time: 1.35
Episode 200, Reward:358.90, Noise:0.671, epsilon: 0.905, aloss:-154.188, closs: 57.723, time: 1.43
Episode 201, Reward:363.67, Noise:0.670, epsilon: 0.905, aloss:-153.525, closs: 52.689, time: 1.34
Episode 202, Reward:39.96, Noise:0.669, epsilon: 0.904, aloss:-155.140, closs: 29.950, time: 0.11
Episode 203, Reward:347.86, Noise:0.667, epsilon: 0.904, aloss:-156.137, closs: 55.228, time: 1.37
Episode 204, Reward:301.55, Noise:0.666, epsilon: 0.903, aloss:-156.014, closs: 46.295, time: 1.07
Episode 205, Reward:358.72, Noise:0.665, epsilon: 0.903, aloss:-156.556, closs: 53.995, time: 1.25
Episode 206, Reward:30.64, Noise:0.663, epsilon: 0.903, aloss:-156.151, closs: 50.153, time: 0.07
Episode 207, Reward:347.68, Noise:0.662, epsilon: 0.902, aloss:-155.612, closs: 52.494, time: 1.30
Episode 208, Reward:363.40, Noise:0.661, epsilon: 0.902, aloss:-155.888, closs: 42.157, time: 1.33
Episode 209, Reward:68.53, Noise:0.659, epsilon: 0.901, aloss:-158.108, closs: 48.655, time: 0.23
Episode 210, Reward:350.28, Noise:0.658, epsilon: 0.901, aloss:-159.249, closs: 48.011, time: 1.27
Episode 211, Reward:347.25, Noise:0.657, epsilon: 0.900, aloss:-159.668, closs: 44.551, time: 1.32
Episode 212, Reward:338.15, Noise:0.655, epsilon: 0.900, aloss:-157.445, closs: 57.198, time: 1.36
Episode 213, Reward:337.75, Noise:0.654, epsilon: 0.899, aloss:-157.588, closs: 54.048, time: 1.28
Episode 214, Reward:334.42, Noise:0.653, epsilon: 0.899, aloss:-155.847, closs: 54.484, time: 1.28
Episode 215, Reward:356.93, Noise:0.652, epsilon: 0.899, aloss:-155.906, closs: 53.332, time: 1.35
Episode 216, Reward:332.92, Noise:0.650, epsilon: 0.898, aloss:-157.097, closs: 45.337, time: 1.37
Episode 217, Reward:349.28, Noise:0.649, epsilon: 0.898, aloss:-156.668, closs: 57.399, time: 1.41
Episode 218, Reward:366.07, Noise:0.648, epsilon: 0.897, aloss:-155.025, closs: 52.029, time: 1.26
Episode 219, Reward:349.77, Noise:0.646, epsilon: 0.897, aloss:-156.078, closs: 46.691, time: 1.47
Episode 220, Reward:346.51, Noise:0.645, epsilon: 0.896, aloss:-156.830, closs: 52.818, time: 1.34
